team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_status,player_injury,player_key
Zeke Virus,1,Matt Ryan,QB,Atl,QB,0,,,399.p.8780
Zeke Virus,1,Odell Beckham Jr.,WR,Cle,WR,0,,,399.p.27540
Zeke Virus,1,Cooper Kupp,WR,LAR,WR,0,,,399.p.30182
Zeke Virus,1,Ezekiel Elliott,RB,Dal,RB,0,,,399.p.29238
Zeke Virus,1,David Johnson,RB,Hou,RB,19.9,,,399.p.28474
Zeke Virus,1,Evan Engram,TE,NYG,TE,0,,,399.p.30136
Zeke Virus,1,Todd Gurley II,RB,Atl,W/R/T,0,,,399.p.28398
Zeke Virus,1,Brandin Cooks,WR,Hou,W/R/T,4,,,399.p.27548
Zeke Virus,1,Leonard Fournette,RB,TB,BN,0,,,399.p.30117
Zeke Virus,1,Sterling Shepard,WR,NYG,BN,0,,,399.p.29274
Zeke Virus,1,Kerryon Johnson,RB,Det,BN,0,,,399.p.31013
Zeke Virus,1,Jared Goff,QB,LAR,BN,0,,,399.p.29235
Zeke Virus,1,J.D. McKissic,RB,Was,BN,0,,,399.p.29650
Zeke Virus,1,Breshad Perriman,WR,NYJ,BN,0,,,399.p.28414
Zeke Virus,1,Jonnu Smith,TE,Ten,BN,0,,,399.p.30213
Zeke Virus,1,Harrison Butker,K,KC,K,10,,,399.p.30346
Zeke Virus,1,Minnesota,DEF,Min,DEF,0,,,399.p.100016
Zeke Virus,1,Tennessee,DEF,Ten,BN,0,,,399.p.100010
3HeadedATK,1,Tom Brady,QB,TB,QB,0,,,399.p.5228
3HeadedATK,1,Julio Jones,WR,Atl,WR,0,,,399.p.24793
3HeadedATK,1,Kenny Golladay,WR,Det,WR,0,Doubtful,,399.p.30209
3HeadedATK,1,Nick Chubb,RB,Cle,RB,0,,,399.p.31005
3HeadedATK,1,James Conner,RB,Pit,RB,0,,,399.p.30218
3HeadedATK,1,Darren Waller,TE,LV,TE,0,,,399.p.28592
3HeadedATK,1,Jonathan Taylor,RB,Ind,W/R/T,0,,,399.p.32711
3HeadedATK,1,JuJu Smith-Schuster,WR,Pit,W/R/T,0,,,399.p.30175
3HeadedATK,1,Tyler Boyd,WR,Cin,BN,0,,,399.p.29288
3HeadedATK,1,Marquise Brown,WR,Bal,BN,0,,,399.p.31857
3HeadedATK,1,Zack Moss,RB,Buf,BN,0,,,399.p.32756
3HeadedATK,1,Carson Wentz,QB,Phi,BN,0,,,399.p.29236
3HeadedATK,1,Noah Fant,TE,Den,BN,0,,,399.p.31852
3HeadedATK,1,Daniel Jones,QB,NYG,BN,0,,,399.p.31838
3HeadedATK,1,James Robinson,RB,Jax,BN,0,,,399.p.33138
3HeadedATK,1,Robbie Gould,K,SF,K,0,,,399.p.7520
3HeadedATK,1,Denver,DEF,Den,DEF,0,,,399.p.100007
3HeadedATK,1,Kansas City,DEF,KC,BN,7,,,399.p.100012
Big Bucs No Whammies,1,Cam Newton,QB,NE,QB,0,,,399.p.24788
Big Bucs No Whammies,1,Adam Thielen,WR,Min,WR,0,,,399.p.27277
Big Bucs No Whammies,1,Christian Kirk,WR,Ari,WR,0,,,399.p.31017
Big Bucs No Whammies,1,Derrick Henry,RB,Ten,RB,0,,,399.p.29279
Big Bucs No Whammies,1,Marlon Mack,RB,Ind,RB,0,,,399.p.30256
Big Bucs No Whammies,1,Rob Gronkowski,TE,TB,TE,0,,,399.p.24017
Big Bucs No Whammies,1,Julian Edelman,WR,NE,W/R/T,0,,,399.p.9496
Big Bucs No Whammies,1,Stefon Diggs,WR,Buf,W/R/T,0,,,399.p.28534
Big Bucs No Whammies,1,Kyler Murray,QB,Ari,BN,0,,,399.p.31833
Big Bucs No Whammies,1,Chris Thompson,RB,Jax,BN,0,,,399.p.26777
Big Bucs No Whammies,1,Mike Evans,WR,TB,BN,0,Questionable,,399.p.27535
Big Bucs No Whammies,1,Tevin Coleman,RB,SF,BN,0,,,399.p.28461
Big Bucs No Whammies,1,Kyle Rudolph,TE,Min,BN,0,,,399.p.24830
Big Bucs No Whammies,1,John Brown,WR,Buf,BN,0,,,399.p.27619
Big Bucs No Whammies,1,Jerry Jeudy,WR,Den,BN,0,,,399.p.32685
Big Bucs No Whammies,1,Teddy Bridgewater,QB,Car,BN,0,,,399.p.27560
Big Bucs No Whammies,1,Ryan Succop,K,TB,K,0,,,399.p.9520
Big Bucs No Whammies,1,Los Angeles,DEF,LAC,DEF,0,,,399.p.100024
Birds Like I'm Julio,1,Patrick Mahomes,QB,KC,QB,23.44,,,399.p.30123
Birds Like I'm Julio,1,Amari Cooper,WR,Dal,WR,0,,,399.p.28392
Birds Like I'm Julio,1,Tyler Lockett,WR,Sea,WR,0,,,399.p.28457
Birds Like I'm Julio,1,Saquon Barkley,RB,NYG,RB,0,,,399.p.30972
Birds Like I'm Julio,1,Mark Ingram II,RB,Bal,RB,0,,,399.p.24815
Birds Like I'm Julio,1,George Kittle,TE,SF,TE,0,,,399.p.30259
Birds Like I'm Julio,1,A.J. Green,WR,Cin,W/R/T,0,,,399.p.24791
Birds Like I'm Julio,1,DeVante Parker,WR,Mia,W/R/T,0,,,399.p.28402
Birds Like I'm Julio,1,Jared Cook,TE,NO,BN,0,,,399.p.9353
Birds Like I'm Julio,1,Phillip Lindsay,RB,Den,BN,0,,,399.p.31379
Birds Like I'm Julio,1,Latavius Murray,RB,NO,BN,0,,,399.p.26804
Birds Like I'm Julio,1,Mecole Hardman,WR,KC,BN,1.6,,,399.p.31888
Birds Like I'm Julio,1,Jimmy Garoppolo,QB,SF,BN,0,,,399.p.27590
Birds Like I'm Julio,1,Brandon Aiyuk,WR,SF,BN,0,Questionable,hamstring,399.p.32695
Birds Like I'm Julio,1,Blake Jarwin,TE,Dal,BN,0,,,399.p.30784
Birds Like I'm Julio,1,Boston Scott,RB,Phi,BN,0,,,399.p.31171
Birds Like I'm Julio,1,Greg Zuerlein,K,Dal,K,0,,,399.p.25881
Birds Like I'm Julio,1,Pittsburgh,DEF,Pit,DEF,0,,,399.p.100023
Jean's Team,1,Matthew Stafford,QB,Det,QB,0,,,399.p.9265
Jean's Team,1,Chris Godwin,WR,TB,WR,0,,,399.p.30197
Jean's Team,1,DJ Moore,WR,Car,WR,0,,,399.p.30994
Jean's Team,1,Christian McCaffrey,RB,Car,RB,0,,,399.p.30121
Jean's Team,1,Raheem Mostert,RB,SF,RB,0,,,399.p.28654
Jean's Team,1,Travis Kelce,TE,KC,TE,17,,,399.p.26686
Jean's Team,1,Robert Woods,WR,LAR,W/R/T,0,,,399.p.26664
Jean's Team,1,T.Y. Hilton,WR,Ind,W/R/T,0,,,399.p.25802
Jean's Team,1,David Montgomery,RB,Chi,BN,0,Questionable,,399.p.31905
Jean's Team,1,Antonio Gibson,RB,Was,BN,0,,,399.p.32736
Jean's Team,1,Baker Mayfield,QB,Cle,BN,0,,,399.p.30971
Jean's Team,1,Sony Michel,RB,NE,BN,0,,,399.p.31001
