pick,round,team_key,player_key
1,1,399.l.316335.t.5,399.p.30121
2,1,399.l.316335.t.4,399.p.30972
3,1,399.l.316335.t.1,399.p.29238
4,1,399.l.316335.t.9,399.p.32702
5,1,399.l.316335.t.3,399.p.29279
6,1,399.l.316335.t.11,399.p.30180
7,1,399.l.316335.t.10,399.p.30154
8,1,399.l.316335.t.7,399.p.30161
9,1,399.l.316335.t.6,399.p.29281
10,1,399.l.316335.t.2,399.p.24793
11,2,399.l.316335.t.2,399.p.31005
12,2,399.l.316335.t.6,399.p.29399
13,2,399.l.316335.t.7,399.p.26650
14,2,399.l.316335.t.10,399.p.31856
15,2,399.l.316335.t.11,399.p.27581
16,2,399.l.316335.t.3,399.p.27535
17,2,399.l.316335.t.9,399.p.30423
18,2,399.l.316335.t.1,399.p.28474
19,2,399.l.316335.t.4,399.p.30259
20,2,399.l.316335.t.5,399.p.30197
21,3,399.l.316335.t.5,399.p.26686
22,3,399.l.316335.t.4,399.p.30123
23,3,399.l.316335.t.1,399.p.27540
24,3,399.l.316335.t.9,399.p.31002
25,3,399.l.316335.t.3,399.p.31833
26,3,399.l.316335.t.11,399.p.29307
27,3,399.l.316335.t.10,399.p.31883
28,3,399.l.316335.t.7,399.p.25785
29,3,399.l.316335.t.6,399.p.30295
30,3,399.l.316335.t.2,399.p.30209
31,4,399.l.316335.t.2,399.p.30218
32,4,399.l.316335.t.6,399.p.30362
33,4,399.l.316335.t.7,399.p.31906
34,4,399.l.316335.t.10,399.p.29369
35,4,399.l.316335.t.11,399.p.28403
36,4,399.l.316335.t.3,399.p.27277
37,4,399.l.316335.t.9,399.p.31885
38,4,399.l.316335.t.1,399.p.30182
39,4,399.l.316335.t.4,399.p.24815
40,4,399.l.316335.t.5,399.p.28654
41,5,399.l.316335.t.5,399.p.30994
42,5,399.l.316335.t.4,399.p.28392
43,5,399.l.316335.t.1,399.p.28398
44,5,399.l.316335.t.9,399.p.26699
45,5,399.l.316335.t.3,399.p.28534
46,5,399.l.316335.t.11,399.p.27589
47,5,399.l.316335.t.10,399.p.32722
48,5,399.l.316335.t.7,399.p.31056
49,5,399.l.316335.t.6,399.p.26658
50,5,399.l.316335.t.2,399.p.32711
51,6,399.l.316335.t.2,399.p.30175
52,6,399.l.316335.t.6,399.p.26671
53,6,399.l.316335.t.7,399.p.31896
54,6,399.l.316335.t.10,399.p.30125
55,6,399.l.316335.t.11,399.p.29344
56,6,399.l.316335.t.3,399.p.24017
57,6,399.l.316335.t.9,399.p.31908
58,6,399.l.316335.t.1,399.p.30136
59,6,399.l.316335.t.4,399.p.28457
60,6,399.l.316335.t.5,399.p.26664
61,7,399.l.316335.t.5,399.p.25802
62,7,399.l.316335.t.4,399.p.28402
63,7,399.l.316335.t.1,399.p.30117
64,7,399.l.316335.t.9,399.p.31010
65,7,399.l.316335.t.3,399.p.28461
66,7,399.l.316335.t.11,399.p.30199
67,7,399.l.316335.t.10,399.p.30996
68,7,399.l.316335.t.7,399.p.32725
69,7,399.l.316335.t.6,399.p.31031
70,7,399.l.316335.t.2,399.p.29288
71,8,399.l.316335.t.2,399.p.28592
72,8,399.l.316335.t.6,399.p.32705
73,8,399.l.316335.t.7,399.p.25876
74,8,399.l.316335.t.10,399.p.29255
75,8,399.l.316335.t.11,399.p.30977
76,8,399.l.316335.t.3,399.p.9496
77,8,399.l.316335.t.9,399.p.31051
78,8,399.l.316335.t.1,399.p.8780
79,8,399.l.316335.t.4,399.p.9353
80,8,399.l.316335.t.5,399.p.31905
81,9,399.l.316335.t.5,399.p.32736
82,9,399.l.316335.t.4,399.p.24791
83,9,399.l.316335.t.1,399.p.27548
84,9,399.l.316335.t.9,399.p.100017
85,9,399.l.316335.t.3,399.p.24830
86,9,399.l.316335.t.11,399.p.26534
87,9,399.l.316335.t.10,399.p.30995
88,9,399.l.316335.t.7,399.p.100025
89,9,399.l.316335.t.6,399.p.27591
90,9,399.l.316335.t.2,399.p.5228
91,10,399.l.316335.t.2,399.p.31857
92,10,399.l.316335.t.6,399.p.7200
93,10,399.l.316335.t.7,399.p.32687
94,10,399.l.316335.t.10,399.p.32003
95,10,399.l.316335.t.11,399.p.100033
96,10,399.l.316335.t.3,399.p.24788
97,10,399.l.316335.t.9,399.p.29315
98,10,399.l.316335.t.1,399.p.30346
99,10,399.l.316335.t.4,399.p.100023
100,10,399.l.316335.t.5,399.p.9265
101,11,399.l.316335.t.5,399.p.100002
102,11,399.l.316335.t.4,399.p.31379
103,11,399.l.316335.t.1,399.p.29274
104,11,399.l.316335.t.9,399.p.31008
