team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
Zeke Virus,5,Matt Ryan,QB,Atl,QB,7.94,399.p.8780
Zeke Virus,5,Odell Beckham Jr.,WR,Cle,WR,11.42,399.p.27540
Zeke Virus,5,Cooper Kupp,WR,LAR,WR,11.6,399.p.30182
Zeke Virus,5,Todd Gurley II,RB,Atl,RB,25.0,399.p.28398
Zeke Virus,5,Ezekiel Elliott,RB,Dal,RB,23.5,399.p.29238
Zeke Virus,5,Evan Engram,TE,NYG,TE,9.5,399.p.30136
Zeke Virus,5,David Johnson,RB,Hou,W/R/T,12.3,399.p.28474
Zeke Virus,5,Brandin Cooks,WR,Hou,W/R/T,30.1,399.p.27548
Zeke Virus,5,Joshua Kelley,RB,LAC,BN,4.8,399.p.32782
Zeke Virus,5,Jared Goff,QB,LAR,BN,27.36,399.p.29235
Zeke Virus,5,Jonnu Smith,TE,Ten,BN,21.0,399.p.30213
Zeke Virus,5,Leonard Fournette,RB,TB,BN,0.0,399.p.30117
Zeke Virus,5,Corey Davis,WR,Ten,BN,0.0,399.p.30118
Zeke Virus,5,Myles Gaskin,RB,Mia,BN,20.1,399.p.32066
Zeke Virus,5,Devonta Freeman,RB,NYG,BN,16.7,399.p.27631
Zeke Virus,5,Mike Williams,WR,LAC,BN,27.9,399.p.30120
Zeke Virus,5,Harrison Butker,K,KC,K,6.0,399.p.30346
Zeke Virus,5,Los Angeles,DEF,LAC,DEF,3.0,399.p.100024
3HeadedATK,5,Tom Brady,QB,TB,QB,15.12,399.p.5228
3HeadedATK,5,Tyler Boyd,WR,Cin,WR,8.2,399.p.29288
3HeadedATK,5,JuJu Smith-Schuster,WR,Pit,WR,6.8,399.p.30175
3HeadedATK,5,James Robinson,RB,Jax,RB,10.0,399.p.33138
3HeadedATK,5,James Conner,RB,Pit,RB,15.3,399.p.30218
3HeadedATK,5,Darren Waller,TE,LV,TE,15.8,399.p.28592
3HeadedATK,5,Jonathan Taylor,RB,Ind,W/R/T,15.4,399.p.32711
3HeadedATK,5,Julio Jones,WR,Atl,W/R/T,0.0,399.p.24793
3HeadedATK,5,Nick Chubb,RB,Cle,BN,0.0,399.p.31005
3HeadedATK,5,Kenny Golladay,WR,Det,BN,0.0,399.p.30209
3HeadedATK,5,Marquise Brown,WR,Bal,BN,19.8,399.p.31857
3HeadedATK,5,Zack Moss,RB,Buf,BN,0.0,399.p.32756
3HeadedATK,5,Carson Wentz,QB,Phi,BN,21.42,399.p.29236
3HeadedATK,5,Noah Fant,TE,Den,BN,0.0,399.p.31852
3HeadedATK,5,Daniel Jones,QB,NYG,BN,8.18,399.p.31838
3HeadedATK,5,Robbie Gould,K,SF,K,5.0,399.p.7520
3HeadedATK,5,Denver,DEF,Den,DEF,0.0,399.p.100007
3HeadedATK,5,Kansas City,DEF,KC,BN,-1.0,399.p.100012
Big Bucs No Whammies,5,Kyler Murray,QB,Ari,QB,28.3,399.p.31833
Big Bucs No Whammies,5,Mike Evans,WR,TB,WR,15.1,399.p.27535
Big Bucs No Whammies,5,John Brown,WR,Buf,WR,0.0,399.p.27619
Big Bucs No Whammies,5,Derrick Henry,RB,Ten,RB,19.3,399.p.29279
Big Bucs No Whammies,5,Nyheim Hines,RB,Ind,RB,5.0,399.p.31074
Big Bucs No Whammies,5,Eric Ebron,TE,Pit,TE,7.3,399.p.27538
Big Bucs No Whammies,5,Adam Thielen,WR,Min,W/R/T,29.3,399.p.27277
Big Bucs No Whammies,5,Stefon Diggs,WR,Buf,W/R/T,20.6,399.p.28534
Big Bucs No Whammies,5,Julian Edelman,WR,NE,BN,0.0,399.p.9496
Big Bucs No Whammies,5,Rex Burkhead,RB,NE,BN,0.0,399.p.26813
