team_name,week,player_name,player_position,player_team,lineup_position,player_status,player_injury,player_key,date,injury_value
Big Bucs No Whammies,9,Dez Bryant,WR,Bal,BN,Inactive: Coach's Decision or Not on Roster,,399.p.23999,2020-11-11,
Big Bucs No Whammies,4,Rob Gronkowski,TE,TB,TE,Questionable,,399.p.24017,2020-10-06,2.0
Eli Man Penguin Boy,1,Golden Tate,WR,NYG,BN,Out,hamstring,399.p.24035,2020-09-15,4.0
Eli Man Penguin Boy,2,Golden Tate,WR,NYG,BN,Questionable,,399.p.24035,2020-09-18,2.0
Eli Man Penguin Boy,7,Emmanuel Sanders,WR,NO,BN,Out,COVID-19,399.p.24057,2020-10-28,4.0
Khari's Blasingame,7,Antonio Brown,WR,TB,BN,Suspended,,399.p.24171,2020-10-28,
Big Bucs No Whammies,4,Cam Newton,QB,NE,BN,Out,COVID-19,399.p.24788,2020-10-06,4.0
Big Bucs No Whammies,5,Cam Newton,QB,NE,BN,Out,COVID-19,399.p.24788,2020-10-13,4.0
Big Bucs No Whammies,9,Cam Newton,QB,NE,BN,Questionable,,399.p.24788,2020-11-11,2.0
Big Bucs No Whammies,12,Cam Newton,QB,NE,BN,Questionable,Abdomen,399.p.24788,2020-12-06,2.0
Birds Like I'm Julio,5,A.J. Green,WR,Cin,BN,Questionable,,399.p.24791,2020-10-13,2.0
3HeadedATK,2,Julio Jones,WR,Atl,WR,Questionable,,399.p.24793,2020-09-25,2.0
3HeadedATK,3,Julio Jones,WR,Atl,BN,Out,,399.p.24793,2020-09-29,4.0
3HeadedATK,4,Julio Jones,WR,Atl,W/R/T,Questionable,hamstring,399.p.24793,2020-10-06,2.0
3HeadedATK,5,Julio Jones,WR,Atl,W/R/T,Out,hamstring,399.p.24793,2020-10-13,4.0
3HeadedATK,7,Julio Jones,WR,Atl,W/R/T,Questionable,hamstring,399.p.24793,2020-10-27,2.0
3HeadedATK,10,Julio Jones,WR,Atl,BN,Out,Hamstring,399.p.24793,2020-12-01,4.0
3HeadedATK,11,Julio Jones,WR,Atl,W/R/T,Out,Hamstring,399.p.24793,2020-12-01,4.0
3HeadedATK,13,Julio Jones,WR,Atl,W/R/T,Out,Hamstring,399.p.24793,2020-12-12,4.0
3HeadedATK,14,Julio Jones,WR,Atl,W/R/T,Questionable,Hamstring,399.p.24793,2020-12-30,2.0
3HeadedATK,15,Julio Jones,WR,Atl,W/R/T,Questionable,Hamstring,399.p.24793,2020-12-30,2.0
3HeadedATK,16,Julio Jones,WR,Atl,W/R/T,Questionable,Hamstring,399.p.24793,2020-12-30,2.0
Birds Like I'm Julio,6,Mark Ingram II,RB,Bal,BN,Questionable,,399.p.24815,2020-10-20,2.0
Birds Like I'm Julio,7,Mark Ingram II,RB,Bal,BN,Questionable,,399.p.24815,2020-10-28,2.0
Birds Like I'm Julio,8,Mark Ingram II,RB,Bal,BN,Questionable,ankle,399.p.24815,2020-11-03,2.0
Birds Like I'm Julio,9,Mark Ingram II,RB,Bal,BN,Questionable,ankle,399.p.24815,2020-11-11,2.0
Birds Like I'm Julio,10,Mark Ingram II,RB,Bal,BN,Out,COVID-19,399.p.24815,2020-12-01,4.0
Birds Like I'm Julio,11,Mark Ingram II,RB,Bal,BN,Out,COVID-19,399.p.24815,2020-12-01,4.0
Zeke Virus,10,Kai Forbath,K,LAR,K,Injured Reserve,Ankle,399.p.25648,2020-12-01,5.0
Zeke Virus,4,Alshon Jeffery,WR,Phi,BN,Out,,399.p.25755,2020-10-03,4.0
DJeango,8,T.Y. Hilton,WR,Ind,W/R/T,Questionable,,399.p.25802,2020-11-03,2.0
Big Bucs No Whammies,14,Cole Beasley,WR,Buf,W/R/T,Questionable,Leg,399.p.26060,2020-12-30,2.0
Big Bucs No Whammies,15,Cole Beasley,WR,Buf,W/R/T,Questionable,Leg,399.p.26060,2020-12-30,2.0
Big Bucs No Whammies,16,Cole Beasley,WR,Buf,W/R/T,Questionable,Leg,399.p.26060,2020-12-30,2.0
Birds Like I'm Julio,13,Josh Gordon,WR,Sea,BN,Inactive: Coach's Decision or Not on Roster,-,399.p.26561,2020-12-12,
Obi 'Quon Kenobi,4,DeAndre Hopkins,WR,Ari,WR,Questionable,,399.p.26650,2020-10-04,2.0
Obi 'Quon Kenobi,13,DeAndre Hopkins,WR,Ari,WR,Questionable,,399.p.26650,2020-12-12,2.0
Obi 'Quon Kenobi,14,DeAndre Hopkins,WR,Ari,WR,Questionable,,399.p.26650,2020-12-30,2.0
Obi 'Quon Kenobi,15,DeAndre Hopkins,WR,Ari,WR,Questionable,,399.p.26650,2020-12-30,2.0
Obi 'Quon Kenobi,16,DeAndre Hopkins,WR,Ari,WR,Questionable,,399.p.26650,2020-12-30,2.0
Eli Man Penguin Boy,6,Zach Ertz,TE,Phi,TE,Out,,399.p.26658,2020-10-20,4.0
Eli Man Penguin Boy,7,Zach Ertz,TE,Phi,BN,Injured Reserve,,399.p.26658,2020-10-28,5.0
Eli Man Penguin Boy,8,Zach Ertz,TE,Phi,BN,Injured Reserve,high ankle sprain,399.p.26658,2020-11-03,5.0
Eli Man Penguin Boy,9,Zach Ertz,TE,Phi,BN,Injured Reserve,high ankle sprain,399.p.26658,2020-11-11,5.0
DJeango,14,Robert Woods,WR,LAR,WR,Questionable,Thigh,399.p.26664,2020-12-17,2.0
Eli Man Penguin Boy,2,Le'Veon Bell,RB,NYJ,BN,Injured Reserve,,399.p.26671,2020-09-25,5.0
Eli Man Penguin Boy,3,Le'Veon Bell,RB,NYJ,BN,Injured Reserve,,399.p.26671,2020-09-29,5.0
Eli Man Penguin Boy,4,Le'Veon Bell,RB,NYJ,BN,Injured Reserve,hamstring,399.p.26671,2020-10-06,5.0
Eli Man Penguin Boy,14,Le'Veon Bell,RB,KC,BN,Questionable,Knee,399.p.26671,2020-12-30,2.0
Eli Man Penguin Boy,15,Le'Veon Bell,RB,KC,BN,Questionable,Knee,399.p.26671,2020-12-30,2.0
Eli Man Penguin Boy,16,Le'Veon Bell,RB,KC,RB,Questionable,Knee,399.p.26671,2020-12-30,2.0
FreshPrinceOfHelaire,5,Keenan Allen,WR,LAC,WR,Questionable,,399.p.26699,2020-10-13,2.0
FreshPrinceOfHelaire,6,Keenan Allen,WR,LAC,BN,Questionable,,399.p.26699,2020-10-20,2.0
FreshPrinceOfHelaire,14,Keenan Allen,WR,LAC,WR,Questionable,,399.p.26699,2020-12-30,2.0
FreshPrinceOfHelaire,15,Keenan Allen,WR,LAC,WR,Questionable,,399.p.26699,2020-12-30,2.0
FreshPrinceOfHelaire,16,Keenan Allen,WR,LAC,WR,Questionable,,399.p.26699,2020-12-30,2.0
Big Bucs No Whammies,3,Jordan Reed,TE,SF,TE,Injured Reserve,,399.p.26708,2020-09-29,5.0
DJeango,11,Rex Burkhead,RB,NE,BN,Injured Reserve,Knee,399.p.26813,2020-12-01,5.0
Big Bucs No Whammies,10,Adam Thielen,WR,Min,WR,Out,COVID-19,399.p.27277,2020-12-01,4.0
Big Bucs No Whammies,11,Adam Thielen,WR,Min,WR,Out,COVID-19,399.p.27277,2020-12-01,4.0
DJeango,2,Sammy Watkins,WR,KC,W/R/T,Questionable,,399.p.27532,2020-09-25,2.0
DJeango,3,Sammy Watkins,WR,KC,BN,Questionable,,399.p.27532,2020-09-27,2.0
DJeango,5,Sammy Watkins,WR,KC,W/R/T,Questionable,"concussion, neck",399.p.27532,2020-10-13,2.0
DJeango,6,Sammy Watkins,WR,KC,W/R/T,Out,"concussion, neck",399.p.27532,2020-10-19,4.0
DJeango,7,Sammy Watkins,WR,KC,BN,Out,"concussion, neck",399.p.27532,2020-10-25,4.0
DJeango,8,Sammy Watkins,WR,KC,BN,Questionable,hamstring,399.p.27532,2020-11-03,2.0
DJeango,9,Sammy Watkins,WR,KC,BN,Out,hamstring,399.p.27532,2020-11-11,4.0
DJeango,14,Sammy Watkins,WR,KC,W/R/T,Questionable,Calf,399.p.27532,2020-12-30,2.0
DJeango,15,Sammy Watkins,WR,KC,BN,Questionable,Calf,399.p.27532,2020-12-30,2.0
DJeango,16,Sammy Watkins,WR,KC,BN,Questionable,Calf,399.p.27532,2020-12-30,2.0
Big Bucs No Whammies,1,Mike Evans,WR,TB,BN,Questionable,,399.p.27535,2020-09-15,2.0
Big Bucs No Whammies,2,Mike Evans,WR,TB,WR,Questionable,,399.p.27535,2020-09-17,2.0
Big Bucs No Whammies,4,Mike Evans,WR,TB,WR,Questionable,hamstring,399.p.27535,2020-10-06,2.0
Big Bucs No Whammies,7,Eric Ebron,TE,Pit,BN,Questionable,,399.p.27538,2020-10-28,2.0
Zeke Virus,5,Odell Beckham Jr.,WR,Cle,WR,Questionable,,399.p.27540,2020-10-08,2.0
Zeke Virus,7,Odell Beckham Jr.,WR,Cle,WR,Injured Reserve,,399.p.27540,2020-10-28,5.0
